0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:18:50 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:18:50 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:19:27 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:25:07 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:25:48 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:33:22 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 500 3483
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:33:46 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 500 3160
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:33:46 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:33:47 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 500 2582
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:34:12 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:34:12 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:34:13 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:34:13 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:38:25 +0100] "GET /Appli1/index.jsp HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:38:42 +0100] "GET /Appli1/Damier.jsp HTTP/1.1" 404 996
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:38:46 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:38:46 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:39:39 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 4677
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:39:39 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:42:43 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:42:43 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:17 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:17 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5947
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:18 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:23 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:23 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:27 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:27 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:28 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5937
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:29 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:40 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:40 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:41 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:11:44:41 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:17:24 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:17:24 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:17:25 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:19:45 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:19:45 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:20:33 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:20:33 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:23:37 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:23:38 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:23:39 +0100] "GET /Appli1/damier.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:23:39 +0100] "GET /Appli1/styleDamier.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:39:25 +0100] "GET /Appli2/bonjour HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:51:18 +0100] "GET /Appli2/bonjour HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:51:18 +0100] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:55:09 +0100] "GET /Appli2/bonjour HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:55:10 +0100] "GET /Appli2/bonjour HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:56:36 +0100] "GET /Appli2/bonjour HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [21/Jan/2019:13:56:40 +0100] "GET /Appli2/personne HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Jan/2019:14:02:50 +0100] "GET /Appli2/personne HTTP/1.1" 200 86
